campanha;rotulo_campanha;especie_CBRO;especie_CNAA;codigo_CNAA;nome_vulgar;familia;grupos;ordem;registros;data;mes;ano;estacao;local;latitude;longitude;imagem
5;jul-23-IR;Tringa melanoleuca;Tringa melanoleuca;TRIME;maçarico-grande-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;tringa_melanoleuca.png
5;jul-23-IR;Tringa semipalmata;Catoptrophorus semipalmatus;CATSE;maçarico-de-asa-branca;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;tringa_semipalmata.png
5;jul-23-IR;Arenaria interpres;Arenaria interpres;AREIN;vira-pedras;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;1;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;arenaria_interpres.png
5;jul-23-IR;Thalasseus acuflavidus;Sterna sandvicensis;STESA;trinta-réis-de-bando;Laridae;Gaivotas e Trinta-réis;Charadriiformes;2;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;thalasseus_acuflavidus.png
5;jul-23-IR;Sterna hirundo;Sterna hirundo;STEHI;trinta-réis-boreal;Laridae;Gaivotas e Trinta-réis;Charadriiformes;11;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;sterna_hirundo.png
6;jul-23-LG;Ardea cocoi;Ardea cocoi;ARDCO;garça-moura;Ardeidae;Garças e Socós;Pelecaniformes;1;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;ardea_cocoi.png
6;jul-23-LG;Ardea alba;Casmerodius albus;EGRAL;garça-branca-grande;Ardeidae;Garças e Socós;Pelecaniformes;37;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;ardea_alba.png
6;jul-23-LG;Bubulcus ibis;Ardea ibis;BUBIB;garça-vaqueira;Ardeidae;Garças e Socós;Pelecaniformes;1;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;bubulcus_ibis.png
6;jul-23-LG;Egretta thula;Egretta thula;EGRTH;garça-branca-pequena;Ardeidae;Garças e Socós;Pelecaniformes;150;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;egretta_thula.png
6;jul-23-LG;Egretta caerulea;Egretta caerulea;EGRCA;garça-azul;Ardeidae;Garças e Socós;Pelecaniformes;330;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;egretta_caerulea.png
6;jul-23-LG;Nyctanassa violacea;Nyctanassa violacea;NYCVI;savacu-de-coroa;Ardeidae;Garças e Socós;Pelecaniformes;4;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;nyctanassa_violacea.png
6;jul-23-LG;Nycticorax nycticorax;Nycticorax nycticorax;NYCNY;socó-dorminhoco;Ardeidae;Garças e Socós;Pelecaniformes;1;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;nycticorax_nycticorax.png
6;jul-23-LG;Pluvialis squatarola;Pluvialis squatarola;PLUSQ;batuiruçu-de-axila-preta;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;15;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;pluvialis_squatarola.png
6;jul-23-LG;Charadrius collaris;Charadrius collaris;CHACO;batuíra-de-coleira;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;2;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;charadrius_collaris.png
6;jul-23-LG;Charadrius semipalmatus;Charadrius semipalmatus;CHASE;batuíra-de-bando;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;142;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;charadrius_semipalmatus.png
6;jul-23-LG;Numenius hudsonicus;Numenius phaeopus;NUMPH;maçarico-de-bico-torto;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;61;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;numenius_hudsonicus.png
6;jul-23-LG;Tringa melanoleuca;Tringa melanoleuca;TRIME;maçarico-grande-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;3;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_melanoleuca.png
6;jul-23-LG;Tringa flavipes;Tringa flavipes;TRIFL;maçarico-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;3;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_flavipes.png
6;jul-23-LG;Tringa semipalmata;Catoptrophorus semipalmatus;CATSE;maçarico-de-asa-branca;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;tringa_semipalmata.png
6;jul-23-LG;Arenaria interpres;Arenaria interpres;AREIN;vira-pedras;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;7;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;arenaria_interpres.png
6;jul-23-LG;Himantopus melanurus;Himantopus melanurus;HIMML;pernilongo-de-costas-brancas;Recurvirostridae;Pernilongo;Charadriiformes;5;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;himantopus_melanurus.png
6;jul-23-LG;Aramides mangle;Aramides mangle;EULMA;saracura-do-mangue;Rallidae;Saracuras e Frangos d' água;Gruiformes;8;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;aramides_mangle.png
6;jul-23-LG;Vanellus chilensis;Vanellus chilensis;VANCH;quero-quero;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;4;14/07/2023;julho;2023;chuvosa;Lagoa de Guaraíras;-6,188437;-35,119253;vanellus_chilensis.png
