contagem	especie_CBRO	especie_CNAA	codigo_CNAA	nome_vulgar	familia	grupos	ordem	registros	data	mes	ano	local	latitude	longitude	estacao	imagem
6	Egretta caerulea	Egretta caerulea	EGRCA	gar‡a-azul	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	330	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	egretta_caerulea.png
6	Nyctanassa violacea	Nyctanassa violacea	NYCVI	savacu-de-coroa	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	4	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	nyctanassa_violacea.png
6	Nycticorax nycticorax	Nycticorax nycticorax	NYCNY	soc¢-dorminhoco	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	nycticorax_nycticorax.png
6	Pluvialis squatarola	Pluvialis squatarola	PLUSQ	batuiru‡u-de-axila-preta	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	15	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	pluvialis_squatarola.png
6	Charadeius collaris	Charadeius collaris	CHACO	batu¡ra-de-coleira	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	2	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	charadrius_collaris.png
6	Charadrius semipalmatus	Charadrius semipalmatus	CHASE	batu¡ra-de-bando	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	142	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	charadrius_semipalmatus.png
6	Numenius hudsonicus	Numenius phaeopus	NUMPH	ma‡arico-de-bico-torto	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	61	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	numenius_hudsonicus.png
6	Tringa melanoleuca	Tringa melanoleuca	TRIME	ma‡arico-grande-de-perna-amarela	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	3	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	tringa_melanoleuca.png
6	Tringa flavipes	Tringa flavipes	TRIFL	ma‡arico-de-perna-amarela	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	3	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	tringa_flavipes.png
6	Tringa semipalmata	Catoptrophorus semipalmatus	CATSE	ma‡arico-de-asa-branca	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	2	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	tringa_sempalmata.png
6	Arenaria interpres	Arenaria interpres	AREIN	vira-pedras	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	7	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	arenaria_interpres.png
6	Himantopus melanurus	Himantopus melanurus	HIMML	pernilongo-de-costas-brancas	Recurvirostridae	Pernilongo	Charadriiformes	5	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	himantopus_melanurus.png
6	Aramides mangle	Aramides mangle	EULMA	saracura-do-mangue	Rallidae	Saracuras e Frangos d'  gua	Gruiformes	8	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	aramides_mangle.png
6	Vanellus chilensis	Vanellus chilensis	VANCH	quero-quero	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	4	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	vanellus_chilensis.png
